#,Symbol,Company,Index,Unnamed: 4,Unnamed: 5,Unnamed: 6
22.0,BNZL,Bunzl,FTSE100,,,
23.0,BRBY,Burberry Group,FTSE100,,,
24.0,CNA,Centrica,FTSE100,,,
26.0,CCH,Coca-Cola HBC,FTSE100,,,
27.0,CPG,Compass Group,FTSE100,,,
28.0,CTEC,Convatec,FTSE100,,,
29.0,CRDA,Croda International,FTSE100,,,
30.0,DCC,DCC plc,FTSE100,,,
31.0,DGE,Diageo,FTSE100,,,
32.0,DPLM,Diploma,FTSE100,,,
33.0,EDV,Endeavour Mining,FTSE100,,,
34.0,ENT,Entain,FTSE100,,,
35.0,EZJ,EasyJet,FTSE100,,,
36.0,EXPN,Experian,FTSE100,,,
37.0,FCIT,F & C Investment Trust,FTSE100,,,
38.0,FRES,Fresnillo plc,FTSE100,,,
39.0,GAW,Games Workshop,FTSE100,,,
40.0,GLEN,Glencore,FTSE100,,,
41.0,GSK,GSK plc,FTSE100,,,
42.0,HLN,Haleon,FTSE100,,,
43.0,HLMA,Halma plc,FTSE100,,,
44.0,HIK,Hikma Pharmaceuticals,FTSE100,,,
45.0,HSX,Hiscox,FTSE100,,,
46.0,HWDN,Howdens Joinery,FTSE100,,,
47.0,HSBA,HSBC,FTSE100,,,
48.0,ICG,ICG,FTSE100,,,
49.0,IHG,IHG Hotels & Resorts,FTSE100,,,
50.0,IMI,IMI,FTSE100,,,
51.0,IMB,Imperial Brands,FTSE100,,,
52.0,INF,Informa,FTSE100,,,
53.0,IAG,International Airlines Group,FTSE100,,,
54.0,ITRK,Intertek,FTSE100,,,
55.0,JD,JD Sports,FTSE100,,,
56.0,KGF,Kingfisher plc,FTSE100,,,
57.0,LAND,Land Securities,FTSE100,,,
